ticker,quarter,earnings_date,transcript_path
MSFT,Q2 2016,2016-Jan-28,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2016-Jan-28-MSFT.txt
MSFT,Q4 2020,2020-Jul-22,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2020-Jul-22-MSFT.txt
MSFT,Q3 2019,2019-Apr-24,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2019-Apr-24-MSFT.txt
MSFT,Q4 2018,2018-Jul-19,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2018-Jul-19-MSFT.txt
MSFT,Q1 2020,2019-Oct-23,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2019-Oct-23-MSFT.txt
MSFT,Q1 2019,2018-Oct-24,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2018-Oct-24-MSFT.txt
MSFT,Q3 2020,2020-Apr-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2020-Apr-29-MSFT.txt
MSFT,Q3 2017,2017-Apr-27,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2017-Apr-27-MSFT.txt
MSFT,Q3 2016,2016-Apr-21,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2016-Apr-21-MSFT.txt
MSFT,Q2 2019,2019-Jan-30,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2019-Jan-30-MSFT.txt
MSFT,Q3 2018,2018-Apr-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2018-Apr-26-MSFT.txt
MSFT,Q2 2020,2020-Jan-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2020-Jan-29-MSFT.txt
MSFT,Q1 2017,2016-Oct-20,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2016-Oct-20-MSFT.txt
MSFT,Q2 2018,2018-Jan-31,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2018-Jan-31-MSFT.txt
MSFT,Q1 2018,2017-Oct-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2017-Oct-26-MSFT.txt
MSFT,Q2 2017,2017-Jan-26,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/MSFT/2017-Jan-26-MSFT.txt
AMD,Q4 2018,2019-Jan-29,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2019-Jan-29-AMD.txt
AMD,Q4 2016,2017-Jan-31,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2017-Jan-31-AMD.txt
AMD,Q1 2018,2018-Apr-25,/Users/shawnchen/Downloads/conference-nlp-main/Transcripts/AMD/2018-Apr-25-AMD.txt
